Index,X1_t,X2_t,x1_bin,x2_bin
289430,1.0017842460077135,0.7980410396351564,46,43
331830,1.0423643471070294,0.9021397584312428,49,49
330984,0.6253369829621945,0.2413552621278001,18,10
41885,0.9005358996873372,0.6088585532597593,38,32
226502,0.9838597586467333,0.7639006224198108,45,41
416027,0.4694145406908324,0.1174798405078342,6,3
487044,1.0054019599823836,0.7728845192235263,46,41
253104,0.8928739061527654,0.6391636178116997,38,33
417051,0.9331402752705086,0.6846621762444376,41,36
237471,0.9847789832818232,0.7428295691389081,45,39
405323,0.7004870489250483,0.3382146863872053,23,16
38287,0.8966758973394491,0.5702236628860066,38,29
416749,0.897657242633846,0.6096427734842914,38,32
331405,0.8789040034837486,0.5907697459329938,37,31
88639,0.8861436365234044,0.5651628010576883,37,29
18325,0.9718707491122892,0.7251226822231922,44,38
20710,0.9639759825319546,0.7072175864859828,43,37
404966,0.4128315561490281,0.0846978119548419,1,1
45139,0.931467764946052,0.6625416058693905,41,35
283154,0.3900247150100546,0.0679161639364696,0,0
169905,0.877441161066018,0.5410222811604933,37,28
418275,0.9930870592926136,0.8195788304487656,45,44
171773,0.4615672748670889,0.1147577178371964,5,3
415440,0.9813828693720708,0.7966647657399457,44,43
134423,0.7118315327700223,0.303484311246993,24,14
434267,0.712819069274074,0.3283937968003696,24,15
434226,0.702553235512875,0.3187760437249236,23,15
331134,0.6744969685338801,0.2768918826152236,21,12
405327,0.6979406007367362,0.3341613314790269,23,16
17862,0.9732361468466828,0.7290836316581027,44,39
416651,0.8443407572316236,0.515904424039537,34,26
420754,0.9826363985655582,0.7915675908992066,45,42
283481,0.6702021921919696,0.2733761166539888,21,12
467550,0.7639676016427565,0.4173245830161998,28,21
434194,0.6927700846419715,0.3056117644349052,23,14
68359,0.9153756954715084,0.6205814151466744,39,32
286548,0.6852294632756576,0.2708188165613531,22,12
416236,0.6209361454561012,0.2376495353546016,17,10
182854,1.0275146445504582,0.8918632766319772,48,48
331401,0.8806443298326646,0.5953580524255921,37,31
286743,0.7010467823238917,0.2852069969619281,23,13
43252,0.8054471033220936,0.4589842951896685,31,23
418071,0.965687079931781,0.7551299271919707,43,40
385299,0.8135048260608594,0.4938997341609755,32,25
286374,0.6761582675221444,0.2574459381548918,21,11
197154,0.762368037309169,0.363368783136823,28,17
253134,0.9087690279339142,0.6721887573519454,39,35
204337,0.8506009405917961,0.562121991770401,35,29
240146,0.7756039221885774,0.4792209258958419,29,24
173350,0.7915012731841222,0.4381137765833461,30,22
287434,0.887849451427171,0.5759174850042683,37,30
69486,0.9148970221855598,0.6186046771805891,39,32
405583,0.9475491020363842,0.7554426331579258,42,40
413765,0.966537393600542,0.7642901429409756,43,41
384720,0.3895140459582342,0.0650336005962438,0,0
20055,0.9657035051601855,0.7120875523927981,43,38
43283,0.8341285267616015,0.4968901502780205,33,25
204422,0.8998256721603745,0.6107463653497337,38,32
405579,0.9490409501813842,0.759990596028046,42,40
287244,0.8126124521135948,0.4463480882670464,32,22
287023,0.7627268578895715,0.3751233613108407,28,18
204708,1.0064560624931052,0.8302859748669476,46,45
287157,0.7959820346967069,0.4217474699663432,30,21
433872,0.7129296886938571,0.3368474644579399,24,16
223829,0.9844499884967784,0.8460458459922532,45,45
386953,1.0264359120046544,0.850610478097354,48,46
283516,0.6676332076318666,0.2809858241415227,21,13
287752,0.9738157858718356,0.7480590180008978,44,40
